# ورش وقالون — الجيل الأول بلا مصدر توقيت: إعادةُ بناءٍ كاملةٍ بوصفة v2.1
# (‏أمر المالك 2026-09-05 عبر المشرف github-10؛ الترقيعُ الجزئي لا يُشهد جيلاً أول)
# قالون قبل ورش. المعرّف	الرواية	قالب الصوت	الأولوية
kshidan_qalun	qalun	https://server16.mp3quran.net/i_kshidan/Rewayat-Qalon-A-n-Nafi/{surah:03d}.mp3	1
sneineh_qalun	qalun	https://server16.mp3quran.net/sneineh/Rewayat-Qalon-A-n-Nafi/{surah:03d}.mp3	1
tareq_qalun	qalun	https://server10.mp3quran.net/tareq/{surah:03d}.mp3	1
basit_warsh	warsh	https://server7.mp3quran.net/basit/Rewayat-Warsh-A-n-Nafi/{surah:03d}.mp3	2
benkirane_warsh	warsh	https://server16.mp3quran.net/A-Benkirane/Rewayat-Warsh-A-n-Nafi/{surah:03d}.mp3	2
bl3_warsh	warsh	https://server6.mp3quran.net/bl3/Rewayat-Warsh-A-n-Nafi/{surah:03d}.mp3	2
deban_warsh	warsh	https://server16.mp3quran.net/deban/Rewayat-Warsh-A-n-Nafi-Men-Tariq-Alazraq/{surah:03d}.mp3	2
m_abdulkareem_warsh	warsh	https://server12.mp3quran.net/m_krm/Rewayat-Warsh-A-n-Nafi-Men-Tariq-Abi-Baker-Alasbahani/{surah:03d}.mp3	2
