# reciterId	riwaya	baseUrlTemplate	priority	ayahCounting
# الأولوية: 1 قالون · 2 ورش · 3 البصريان وشعبة · 4 حفص
# ayahCounting=unverified: عدّ ملفات السور لا يُسبَر بـHEAD
#   (ملفه واحد للسورة كلها)؛ يُحسم بمحاذاة D-025. ولقراء
#   آية-بآية مسبارٌ خاص: probe_counting.py ← non_kufi.tsv
# الروايات الست كلها مدعومة (وُسّع --riwaya في 2026-09-01).
aamer	hafs	https://server10.mp3quran.net/Aamer/{surah:03d}.mp3	4	unverified
abdullahk	hafs	https://server10.mp3quran.net/Abdullahk/{surah:03d}.mp3	4	unverified
abkar	hafs	https://server6.mp3quran.net/abkr/{surah:03d}.mp3	4	unverified
afs	hafs	https://server8.mp3quran.net/afs/{surah:03d}.mp3	4	unverified
akdr	hafs	https://server6.mp3quran.net/akdr/{surah:03d}.mp3	4	unverified
alijon	hafs	https://server16.mp3quran.net/Alijon/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
aloosi	hafs	https://server6.mp3quran.net/aloosi/{surah:03d}.mp3	4	unverified
alosfor	hafs	https://server14.mp3quran.net/alosfor/{surah:03d}.mp3	4	unverified
alzain	hafs	https://server9.mp3quran.net/alzain/{surah:03d}.mp3	4	unverified
arkani	hafs	https://server6.mp3quran.net/arkani/{surah:03d}.mp3	4	unverified
asim	hafs	https://server7.mp3quran.net/asim/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
bader	hafs	https://server10.mp3quran.net/bader/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
balilah	hafs	https://server6.mp3quran.net/balilah/{surah:03d}.mp3	4	unverified
bari	hafs	https://server12.mp3quran.net/bari/{surah:03d}.mp3	4	unverified
bilal	hafs	https://server11.mp3quran.net/bilal/{surah:03d}.mp3	4	unverified
buajan	hafs	https://server8.mp3quran.net/buajan/{surah:03d}.mp3	4	unverified
bukheet	hafs	https://server14.mp3quran.net/bukheet/{surah:03d}.mp3	4	unverified
darweez	hafs	https://server16.mp3quran.net/darweez/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
deban	hafs	https://server16.mp3quran.net/deban/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
f_hajry	hafs	https://server16.mp3quran.net/f_hajry/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
f_khamery	hafs	https://server16.mp3quran.net/f_khamery/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
gulan	hafs	https://server8.mp3quran.net/gulan/{surah:03d}.mp3	4	unverified
h_abudalal	hafs	https://server16.mp3quran.net/h_abudalal/Rewayat-Hafs-A-n-Assem/{surah:03d}.mp3	4	unverified
