# معرّفنا	الرواية	read	قالب الصوت	حالتنا (none=لا فهرس منشور ⇒ الأولوية)
# مستخرَجة من docs/qa/AYAH_SOURCES_SURVEY_2026-09-05.md (وكيل المشرف github-10)
rashad	hafs	198	https://server10.mp3quran.net/rashad/{s:03d}.mp3	pub
s_hashemi	hafs	294	https://server16.mp3quran.net/s_hashemi/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	pub
saber	hafs	8	https://server8.mp3quran.net/saber/{s:03d}.mp3	pub
sahood	hafs	40	https://server8.mp3quran.net/sahood/{s:03d}.mp3	pub
salah_hashim_m	hafs	44	https://server12.mp3quran.net/salah_hashim_m/{s:03d}.mp3	pub
shaheen	hafs	256	https://server16.mp3quran.net/shaheen/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	pub
shatri2	hafs	4	https://server11.mp3quran.net/shatri/{s:03d}.mp3	pub
soufi	hafs	258	https://server16.mp3quran.net/soufi/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	pub
soufi_sousi	sousi	65	https://server16.mp3quran.net/soufi/Rewayat-Assosi-A-n-Abi-Amr/{s:03d}.mp3	pub
tblawi	hafs	106	https://server12.mp3quran.net/tblawi/{s:03d}.mp3	pub
trabulsi	hafs	201	https://server10.mp3quran.net/trabulsi/{s:03d}.mp3	pub
twfeeq	hafs	17	https://server6.mp3quran.net/twfeeq/{s:03d}.mp3	pub
wdee3	hafs	219	https://server6.mp3quran.net/wdee3/{s:03d}.mp3	pub
wdod	hafs	71	https://server8.mp3quran.net/wdod/{s:03d}.mp3	pub
zahrani	hafs	56	https://server9.mp3quran.net/zahrani/{s:03d}.mp3	pub
zaki	hafs	33	https://server9.mp3quran.net/zaki/{s:03d}.mp3	pub
zaml	hafs	139	https://server9.mp3quran.net/zaml/{s:03d}.mp3	pub
